,contentid,contenttypeid,title,overview,firstimage,addr1,mapx,mapy,tags
0,2686628,82,1975 Yeonggyeguksu The deungsim(1975영계국수The등심),"It is a restaurant where you can enjoy fresh meat as it is also a butcher’s shop. This Korean dishes restaurant is located in Pyeongchang-gun, Gangwon-do. The representative menu is sausage stew.",http://tong.visitkorea.or.kr/cms/resource/74/2676374_image2_1.jpg,"296, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6639793137,37.6627744563,"['shop', 'sausage', 'dishes', 'fresh', 'representative', 'menu', 'butchers', 'restaurant', 'meat', 'korean', 'stew', 'pyeongchanggun']"
1,2694940,82,1994 Hyeondae Sutbul Galbi (1994현대숯불갈비),"It is a store that has been around since 1994. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The representative menu is charcoal-grilled ribs.",http://tong.visitkorea.or.kr/cms/resource/63/2701363_image2_1.jpg,"43-4, Jangmigongwon-gil, Wonju-si, Gangwon-do",127.930371561,37.3469331886,"['charcoalgrilled', 'dishes', 'representative', '1994', 'around', 'wonjusi', 'menu', 'since', 'restaurant', 'korean', 'ribs', 'store']"
2,2694672,82,1bunji Seolleongtang (1번지설렁탕),"This is a place that provides thick broth with rice. The best menu at this restaurant is ox bone soup. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/14/2685014_image2_1.jpg,"1, Nampyeong-gil, Gangneung-si, Gangwon-do",128.8416018082,37.8556583536,"['broth', 'dishes', 'best', 'menu', 'bone', 'gangneungsi', 'rice', 'restaurant', 'korean', 'thick', 'provides', 'soup', 'ox']"
3,2694713,82,365 Mega Bunsik (365 메가분식),"It is a place where you can enjoy it at a good price. This restaurant's signature menu is pork cutlet with cheese. This Korean dishes restaurant is located in Wonju-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/21/2701321_image2_1.jpg,"2, Hwanggeum-ro, Wonju-si, Gangwon-do",127.9866031563,37.3278419953,"['restaurants', 'signature', 'good', 'dishes', 'menu', 'wonjusi', 'pork', 'cutlet', 'restaurant', 'korean', 'price', 'cheese']"
4,1825889,76,365 Safetown (365 세이프타운),"365 Safetown is a one-of-a-kind safety awareness theme park combining  education, entertainment, recreation, and leisure into 
one public park. It is the world’s first edutainment facility  dedicated to teaching the public safety lessons about fire, earthquakes, and other natural disasters.<br><br>

The park consists of three different areas. The Korea Youth Safety Experience Hall provides a realistic experience of natural disasters through 3D and 4D installations. Challenge World offers a chance to test one’s limits through outdoor experience facilities like the tree track and zip line. Lastly, the Gangwon-do Firefighting Academy is a specialized training center for firefighters.",,"15, Pyeonghwa-gil, Taebaek-si, Gangwon-do",129.0267221911,37.0993713487,"['test', 'theme', 'first', 'limits', 'lessons', 'worlds', 'edutainment', 'world', 'combining', 'dedicated', 'disasters', 'like', 'track', 'youth', 'consists', 'recreation', 'academy', '3d', 'entertainment', 'education', 'awareness', 'teaching', 'lastly', 'hall', 'provides', 'outdoor', 'challenge', 'training', 'park', 'tree', 'firefighters', 'chance', 'facilities', 'specialized', 'earthquakes', 'disastersbrbr', 'center', 'natural', 'public', 'firefighting', 'safetown', 'fire', 'zip', 'line', 'installations', 'ones', 'leisure', '4d', 'facility', 'oneofakind', 'experience', 'three', 'different', 'realistic', 'safety', 'areas', '365']"
5,2693602,82,9 Nammaejip (9남매집),"It is a place where Korean beans are made every day. This restaurant's signature menu is rich soybean paste stew. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/70/2684770_image2_1.jpg,"63-2, Chodangwon-gil, Gangneung-si, Gangwon-do",128.9139113072,37.7869677163,"['soybean', 'day', 'restaurants', 'rich', 'signature', 'dishes', 'menu', 'gangneungsi', 'beans', 'paste', 'restaurant', 'stew', 'every', 'made', 'korean']"
6,264439,76,Abai Village (아바이 마을),"Located in Cheongho-dong, Abai Village bears a history of displaced people’s distress. The village was formed by refugees of the Korean War from North Korea, mainly from Hamgyeong-do Province. The word “abai” is a dialect of Hamgyeong-do that means a friendly old man like a grandfather. Visitors to Abai Village can get a sense of displaced people’s life and story, which fade away into a chapter of history. Although it has lost its original appearance now, old shacks without a gate still remain here and there. Mural paintings on the wall show the sentiment of nostalgia about their hometown and express sorrow and hard life of displaced people, who lived from hand to mouth by fishing and doing physical labor. The original houses built by refugees in the village were restored into the Refugee Village at the Sokcho Museum. Abai Village is also known as a filming location for the Korean TV drama Autumn in My Heart, attracting a lot of visitors and becoming a major attraction in Sokcho. The restaurant alley is packed with cafes and North Korean food restaurants serving local dishes such as Hamheung-style cold buckwheat noodles, stuffed squid, and North Korean-style sausage soup.",http://tong.visitkorea.or.kr/cms/resource/73/2711173_image2_1.jpg,"122-1, Cheongho-ro, Sokcho-si, Gangwon-do",128.5949161776,38.2007412589,"['houses', 'history', 'cafes', 'dishes', 'formed', 'built', 'hard', 'mural', 'shacks', 'tv', 'people', 'village', 'museum', 'food', 'means', 'alley', 'old', 'fishing', 'becoming', 'away', 'province', 'serving', 'original', 'fade', '”', 'sentiment', 'show', 'lost', 'wall', 'dialect', 'heart', 'paintings', 'hamheungstyle', 'sense', 'filming', 'north', 'sausage', 'without', 'refugees', 'man', 'packed', '“', 'grandfather', 'lot', 'life', 'mouth', 'attracting', 'drama', 'hamgyeongdo', 'get', 'still', 'like', 'mainly', 'word', 'story', 'war', 'buckwheat', 'bears', 'squid', 'nostalgia', 'noodles', 'distress', 'koreanstyle', 'cheonghodong', 'attraction', 'restored', 'friendly', 'peoples', 'restaurant', 'labor', 'although', 'appearance', 'sorrow', 'known', 'major', 'refugee', 'korean', 'soup', 'hometown', 'lived', 'restaurants', 'cold', 'autumn', 'location', 'local', 'remain', 'gate', 'displaced', 'sokcho', 'express', 'stuffed', 'chapter', 'abai', 'physical', 'hand']"
7,2366892,76,Abai Village Ferry (아바이마을 갯배),"Gaetbae (boat without engine) is an exotic means of transportation to cross the Abai Village at the mouth of Cheongchoho Lake. It is a rapid means of traveling between downtown Sokcho and Abai Village along the 50 m-long waterway. This small barge-style boat without an engine can be run by pulling the wire manually. When fixing the solid steel wire on both sides of the waterway and pulling it hard with a hook, a boat moves forward slowly. As there is no boatman, passengers need to work together to move the boat. It takes about 5 min to cross the water by boat. This unique experience still attracts many tourists to Sokcho. Furthermore, it is known as the filming location for the Korean TV drama Autumn in My Heart, so many tourists from Japan and China visit the place.",,"39, Jungangbudu-gil, Sokcho-si, Gangwon-do",128.5922246895,38.2028631815,"['pulling', 'cheongchoho', '50', 'slowly', 'wire', 'engine', 'min', 'mlong', 'small', 'exotic', 'run', 'need', 'cross', 'visit', 'manually', 'solid', 'unique', 'korean', 'lake', 'boat', 'japan', 'sides', 'tourists', 'heart', 'move', 'hard', '5', 'filming', 'downtown', 'autumn', 'rapid', 'work', 'location', 'tv', 'forward', 'village', 'waterway', 'transportation', 'gaetbae', 'without', 'means', 'along', 'takes', 'traveling', 'passengers', 'water', 'china', 'mouth', 'moves', 'attracts', 'steel', 'sokcho', 'bargestyle', 'furthermore', 'boatman', 'known', 'drama', 'experience', 'abai', 'together', 'fixing', 'still', 'hook']"
8,2813153,76,Alpaca World (알파카월드),"Situated on an area of 363,636-㎡ forest, Alpaca World is the first experiential zoo to be founded in Gangwon-do. Visitors can interact and feed cute alpacas surrounded by the pristine beauty of nature. Alpaca World has made appearances in many television shows, featuring ""the genius alpaca"" and the first alpaca to be born in Korea. The attraction offers many hands-on programs and amenities for the convenience of diverse visitors, ranging from families and couples to school field trips.<br>",http://tong.visitkorea.or.kr/cms/resource/32/2539932_image2_1.jpg,"146-155, Deokjaebat-gil, Hongcheon-gun, Gangwon-do",127.8837032834,37.8276988352,"['field', 'nature', 'zoo', 'first', 'interact', 'handson', 'forest', 'school', 'convenience', 'cute', 'world', 'families', 'feed', 'television', 'alpacas', 'amenities', 'tripsbr', 'attraction', 'situated', 'diverse', 'appearances', 'pristine', 'founded', 'alpaca', 'beauty', 'couples', 'genius', 'programs', 'featuring', 'experiential', 'born', 'ranging', 'shows', '363636㎡', 'surrounded', 'made']"
9,266863,75,Alpensia Casino (알펜시아 카지노),"Alpensia Casino is located in the beautiful natural environment of Alpensia Resort, an official venue of the 2018 PyeongChang Olympics. The casino is an international level casino open all year round and it has games such as Baccarat, Blackjack, Roulette, and Big Wheel, as well as slot machines.",http://tong.visitkorea.or.kr/cms/resource/53/1846753_image2_1.jpg,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6743702048,37.6575030436,"['big', 'alpensia', 'year', 'level', 'pyeongchang', 'venue', 'games', 'environment', 'wheel', 'beautiful', 'open', 'international', 'resort', 'roulette', 'blackjack', 'machines', 'baccarat', 'natural', 'slot', '2018', 'casino', 'official', 'olympics', 'round']"
